orig.ident,nCount_RNA,nFeature_RNA,perturbation,gRNA_UMI_count,replicate,perturbation_2,library,cancer,celltype,organism,disease,tissue_type,perturbation_type,perturbation_type_2,ncounts,ngenes,percent_mito,percent_ribo,nperts,guide_id,target,mixscale_score
SeuratProject,2131,487,ES.sg2.BTLA,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6509,2136,2.6732216,30.14288,1,ES.sg2.BTLA,BTLA,1
SeuratProject,1130,362,ES.sg22.LCP2,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3394,1395,2.7695935,31.408367,1,ES.sg22.LCP2,LCP2,1.579503818
SeuratProject,2738,563,ES.sg15.DGKA,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,9822,2758,3.3190796,33.577682,1,ES.sg15.DGKA,DGKA,1
SeuratProject,3807,715,control,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,11944,2957,1.9507703,35.85901,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,1604,420,control,8,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5372,1811,3.108712,36.094563,1,ES.sg40.NonTarget.CTRL170,NonTarget,0
SeuratProject,1763,405,control,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5223,1745,3.599464,32.222862,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,2526,544,control,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8693,2547,4.095249,31.876223,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,4630,697,control,5,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,14283,3338,4.214801,29.181545,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,4097,771,ES.sg10.CD5,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12797,3146,3.657107,31.39017,1,ES.sg10.CD5,CD5,1
SeuratProject,1680,377,ES.sg6.CBLB,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4756,1724,2.4810765,25.21026,1,ES.sg6.CBLB,CBLB,-1.034743068
SeuratProject,2265,472,control,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7166,2294,4.6748533,30.184204,1,ES.sg46.NonTarget.CTRL214,NonTarget,0
SeuratProject,3674,661,ES.sg25.MEF2D,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,12116,2975,3.804886,32.056786,1,ES.sg25.MEF2D,MEF2D,1
SeuratProject,4242,703,ES.sg0.ARID1A,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,13208,3469,3.2480314,22.66051,1,ES.sg0.ARID1A,ARID1A,1
SeuratProject,2103,514,ES.sg16.DGKZ,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6409,2142,3.760337,31.408957,1,ES.sg16.DGKZ,DGKZ,1
SeuratProject,4851,744,ES.sg11.CD5,12,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,17245,3974,3.2589157,27.886343,1,ES.sg11.CD5,CD5,1
SeuratProject,2646,530,ES.sg35.TCEB2,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8715,2388,3.2472749,35.777397,1,ES.sg35.TCEB2,TCEB2,2.037743027
SeuratProject,2685,553,ES.sg37.TMEM222,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8629,2818,2.839263,21.392977,1,ES.sg37.TMEM222,TMEM222,1
SeuratProject,1525,428,ES.sg16.DGKZ,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4622,1691,3.7862396,30.938988,1,ES.sg16.DGKZ,DGKZ,1
SeuratProject,1520,400,ES.sg18.HAVCR2,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4423,1648,4.092245,29.05268,1,ES.sg18.HAVCR2,HAVCR2,1
SeuratProject,3631,713,ES.sg11.CD5,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,10723,2787,5.8379183,35.54043,1,ES.sg11.CD5,CD5,1
SeuratProject,5683,791,ES.sg19.HAVCR2,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,20280,4254,4.3589745,27.361933,1,ES.sg19.HAVCR2,HAVCR2,1
SeuratProject,1710,362,ES.sg12.CDKN1B,9,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5788,1847,2.9889426,35.5736,1,ES.sg12.CDKN1B,CDKN1B,1
SeuratProject,1005,333,ES.sg22.LCP2,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3262,1376,1.7473942,30.962599,1,ES.sg22.LCP2,LCP2,2.96912156
SeuratProject,2224,493,ES.sg36.TMEM222,5,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,7205,2180,2.0818875,33.240807,1,ES.sg36.TMEM222,TMEM222,1
SeuratProject,1309,346,ES.sg7.CBLB,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4434,1646,3.743798,32.047813,1,ES.sg7.CBLB,CBLB,-0.780692341
SeuratProject,4752,723,ES.sg7.CBLB,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,15406,3607,3.5895107,25.756199,1,ES.sg7.CBLB,CBLB,0.045300319
SeuratProject,1625,403,ES.sg13.CDKN1B,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4705,1820,2.592986,23.613178,1,ES.sg13.CDKN1B,CDKN1B,1
SeuratProject,1773,441,ES.sg16.DGKZ,6,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5545,1784,5.6988277,36.429214,1,ES.sg16.DGKZ,DGKZ,1
SeuratProject,7085,953,ES.sg31.SOCS1,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,23782,4723,3.1830797,25.603397,1,ES.sg31.SOCS1,SOCS1,1
SeuratProject,1370,377,ES.sg9.CD3D,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,4315,1597,1.4831982,32.72306,1,ES.sg9.CD3D,CD3D,1.324354086
SeuratProject,1883,462,ES.sg32.STAT6,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6336,2039,3.5353534,34.738007,1,ES.sg32.STAT6,STAT6,1
SeuratProject,4609,691,ES.sg15.DGKA,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,16795,3795,3.0961595,26.531706,1,ES.sg15.DGKA,DGKA,1
SeuratProject,1938,478,ES.sg36.TMEM222,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6298,2151,5.017466,30.358845,1,ES.sg36.TMEM222,TMEM222,1
SeuratProject,4006,695,control,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,14597,3248,3.4733164,39.151882,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,1786,416,ES.sg33.STAT6,8,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,6144,1808,2.9459636,39.56706,1,ES.sg33.STAT6,STAT6,1
SeuratProject,1261,346,ES.sg38.TNFRSF9,2,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3777,1365,2.4887476,34.63066,1,ES.sg38.TNFRSF9,TNFRSF9,1
SeuratProject,1635,401,control,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5167,1820,3.5610607,30.481905,1,ES.sg42.NonTarget.CTRL125,NonTarget,0
SeuratProject,2826,557,ES.sg10.CD5,8,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8995,2585,3.9911063,32.34019,1,ES.sg10.CD5,CD5,1
SeuratProject,1969,437,ES.sg19.HAVCR2,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,5946,2022,2.404978,27.951565,1,ES.sg19.HAVCR2,HAVCR2,1
SeuratProject,3565,655,ES.sg2.BTLA,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,11459,3187,5.6200366,25.202898,1,ES.sg2.BTLA,BTLA,1
SeuratProject,3753,624,ES.sg27.PDCD1,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,13061,3293,4.287574,31.39882,1,ES.sg27.PDCD1,PDCD1,1
SeuratProject,1065,334,control,4,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3035,1257,2.4052718,31.36738,1,ES.sg43.NonTarget.CTRL108,NonTarget,0
SeuratProject,2549,457,ES.sg35.TCEB2,3,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,8546,2289,3.440206,36.379593,1,ES.sg35.TCEB2,TCEB2,6.445344796
SeuratProject,1098,304,ES.sg19.HAVCR2,1,D2,Stim,D2_Stim,FALSE,T cells,human,healthy,primary,CRISPR,TCR stimulation,3219,1282,1.7086052,30.040384,1,ES.sg19.HAVCR2,HAVCR2,1
