"","knockout","variable","number","cellNum","ratio","ctrlNum","ctrl_ratio","diff_index","t_D","t_D_ctrl","t_D_diff","t_D_sum","t_D_sum2","perturb_percent"
"11","BTLA","Topic5",6.24401710568686,59,0.105830798401472,143,0.143699869205325,-0.0378690708038526,-1.14157249904948,-0.0701731259931791,-1.0713993730563,5.01823070847203,5.04395084467162,0.22632506426097
"12","BTLA","Topic6",16.2277282250412,59,0.275046241102393,143,0.339858358932387,-0.0648121178299932,-1.02594023490143,-0.0765696491066168,-0.949370585794816,5.01823070847203,5.04395084467162,0.203400125515741
"13","C10orf54","Topic1",8.16340252019764,43,0.189846570237154,143,0.219969620215425,-0.0301230499782707,-0.630607778437292,-0.0138898989737331,-0.616717879463559,3.65688154280489,3.57003522496559,0.176639091409349
"14","C10orf54","Topic2",3.35295650535698,43,0.0779757326827204,143,0.0706078261841761,0.00736790649854428,0.173689070198915,-0.0441105396506941,0.217799609849609,3.65688154280489,3.57003522496559,0.0486519205705007
"15","C10orf54","Topic3",3.09590291266181,43,0.0719977421549258,143,0.0508904717073779,0.0211072704475479,0.739734045836253,-0.0437726150142265,0.78350666085048,3.65688154280489,3.57003522496559,0.207206371708387
"16","C10orf54","Topic4",8.56972607986407,43,0.199295955345676,143,0.17497385375531,0.0243221015903664,0.532993164034924,-0.0192495852615505,0.552242749296474,3.65688154280489,3.57003522496559,0.149296331954277
"17","C10orf54","Topic5",7.29066799035334,43,0.16955041838031,143,0.143699869205325,0.0258505491749855,0.465185840766924,-0.0701731259931791,0.535358966760103,3.65688154280489,3.57003522496559,0.130302871387329
"18","C10orf54","Topic6",12.5273439915662,43,0.291333581199213,143,0.339858358932387,-0.0485247777331734,-1.02782532569128,-0.0765696491066168,-0.951255676584662,3.65688154280489,3.57003522496559,0.287903412970158
"19","CBLB","Topic1",8.96370109507332,48,0.186743772814028,143,0.219969620215425,-0.0332258474013976,-0.658203569289701,-0.0138898989737331,-0.644313670315968,3.61551000912933,3.52866369129003,0.186530547219441
"20","CBLB","Topic2",3.58309105094775,48,0.0746477302280781,143,0.0706078261841761,0.004039904043902,0.159629035554572,-0.0441105396506941,0.203739575205266,3.61551000912933,3.52866369129003,0.0452378150824042
"21","CBLB","Topic3",5.16064388213122,48,0.107513414211067,143,0.0508904717073779,0.0566229425036892,1.52976006897905,-0.0437726150142265,1.57353268399328,3.61551000912933,3.52866369129003,0.433523906728496
"22","CBLB","Topic4",9.16811754274914,48,0.191002448807274,143,0.17497385375531,0.0160285950519642,0.266008511617564,-0.0192495852615505,0.285258096879115,3.61551000912933,3.52866369129003,0.0753850564660401
"23","CBLB","Topic5",7.2698565779033,48,0.151455345372985,143,0.143699869205325,0.00775547616766073,0.129984768262642,-0.0701731259931791,0.200157894255821,3.61551000912933,3.52866369129003,0.0368368253918586
"24","CBLB","Topic6",13.8545898511953,48,0.288637288566568,143,0.339858358932387,-0.0512210703658185,-0.785077737586498,-0.0765696491066168,-0.708508088479881,3.61551000912933,3.52866369129003,0.22248584911176
"25","CD3D","Topic1",6.70316550906156,31,0.216231145453599,143,0.219969620215425,-0.00373847476182637,-0.0811185877727337,-0.0138898989737331,-0.0672286887990007,5.39183227234968,5.34348512503348,0.0151808390731181
"26","CD3D","Topic2",3.96450417607311,31,0.127887231486229,143,0.0706078261841761,0.0572794053020532,1.48311213446845,-0.0441105396506941,1.52722267411914,5.39183227234968,5.34348512503348,0.277555209711406
"27","CD3D","Topic3",2.56303025200479,31,0.082678395225961,143,0.0508904717073779,0.0317879235185831,1.17436021351318,-0.0437726150142265,1.21813282852741,5.39183227234968,5.34348512503348,0.21977420841156
"28","CD3D","Topic4",4.73516251792577,31,0.152747177997606,143,0.17497385375531,-0.022226675757704,-0.573191481270529,-0.0192495852615505,-0.553941896008979,5.39183227234968,5.34348512503348,0.107269219967546
"29","CD3D","Topic5",5.09779314843813,31,0.164444940272198,143,0.143699869205325,0.0207450710668731,0.497785246236956,-0.0701731259931791,0.567958372230135,5.39183227234968,5.34348512503348,0.0931574121737331
"30","CD3D","Topic6",7.93634439649663,31,0.256011109564407,143,0.339858358932387,-0.0838472493679791,-1.53391746177164,-0.0765696491066168,-1.45734781266502,5.39183227234968,5.34348512503348,0.287063110662636
"31","CD5","Topic1",8.24265454011402,39,0.21135011641318,143,0.219969620215425,-0.0086195038022451,-0.176996240251715,-0.0138898989737331,-0.163106341277982,3.93706406913992,4.02906317381008,0.0439298746672017
"32","CD5","Topic2",5.00052236516921,39,0.128218522183826,143,0.0706078261841761,0.0576106959996499,1.43478562567224,-0.0441105396506941,1.47889616532293,3.93706406913992,4.02906317381008,0.356108992035346
"33","CD5","Topic3",3.00287193638803,39,0.0769967163176418,143,0.0508904717073779,0.0261062446102639,1.0438659941721,-0.0437726150142265,1.08763860918632,3.93706406913992,4.02906317381008,0.259084047368005
"34","CD5","Topic4",6.2766803034264,39,0.160940520600677,143,0.17497385375531,-0.0140333331546325,-0.277589744905603,-0.0192495852615505,-0.258340159644053,3.93706406913992,4.02906317381008,0.0688968459740235
"35","CD5","Topic5",5.21756753042043,39,0.133783782831293,143,0.143699869205325,-0.00991608637403157,-0.235546726698038,-0.0701731259931791,-0.165373600704859,3.93706406913992,4.02906317381008,0.0584619095151326
"36","CD5","Topic6",11.2597033244819,39,0.288710341653382,143,0.339858358932387,-0.0511480172790045,-0.86027884211039,-0.0765696491066168,-0.783709193003773,3.93706406913992,4.02906317381008,0.213518330440291
"37","CDKN1B","Topic1",6.75094490380895,39,0.173101151379717,143,0.219969620215425,-0.0468684688357086,-1.08268804348919,-0.0138898989737331,-1.06879814451546,6.26958478543962,6.18273846760032,0.175114643642595
"38","CDKN1B","Topic2",3.06884036501962,39,0.0786882144876827,143,0.0706078261841761,0.00808038830350652,0.291713645794718,-0.0441105396506941,0.335824185445412,6.26958478543962,6.18273846760032,0.0471819481486073
"39","CDKN1B","Topic3",3.90753712013778,39,0.100193259490712,143,0.0508904717073779,0.0493027877833343,1.81370416131514,-0.0437726150142265,1.85747677632936,6.26958478543962,6.18273846760032,0.293349649321182
"40","CDKN1B","Topic4",8.68369064830579,39,0.222658734571943,143,0.17497385375531,0.0476848808166337,0.845070047570652,-0.0192495852615505,0.864319632832202,6.26958478543962,6.18273846760032,0.136682159855072
"41","CDKN1B","Topic5",6.74218972120972,39,0.172876659518198,143,0.143699869205325,0.0291767903128731,0.552207621148981,-0.0701731259931791,0.62238074714216,6.26958478543962,6.18273846760032,0.0893144072068936
"42","CDKN1B","Topic6",9.84679724151815,39,0.252481980551747,143,0.339858358932387,-0.0873763783806391,-1.59735494828164,-0.0765696491066168,-1.52078529917502,6.26958478543962,6.18273846760032,0.25835719182565
"43","CTRL","Topic1",31.4556556908058,143,0.219969620215425,143,0.219969620215425,0,-0.0138898989737331,-0.0138898989737331,0,0,0.267765414,0.0518733871049271
"44","CTRL","Topic2",10.0969191443372,143,0.0706078261841761,143,0.0706078261841761,0,-0.0441105396506941,-0.0441105396506941,0,0,0.267765414,0.164735762515969
"45","CTRL","Topic3",7.27733745415503,143,0.0508904717073779,143,0.0508904717073779,0,-0.0437726150142265,-0.0437726150142265,0,0,0.267765414,0.163473745023047
"46","CTRL","Topic4",25.0212610870093,143,0.17497385375531,143,0.17497385375531,0,-0.0192495852615505,-0.0192495852615505,0,0,0.267765414,0.0718897372666304
"47","CTRL","Topic5",20.5490812963614,143,0.143699869205325,143,0.143699869205325,0,-0.0701731259931791,-0.0701731259931791,0,0,0.267765414,0.262069417199561
"48","CTRL","Topic6",48.5997453273313,143,0.339858358932387,143,0.339858358932387,0,-0.0765696491066168,-0.0765696491066168,0,0,0.267765414,0.285957950889867
"49","DGKA","Topic1",13.8777257500036,81,0.171329947530908,143,0.219969620215425,-0.0486396726845168,-1.12203171554493,-0.0138898989737331,-1.10814181657119,5.4140746194258,5.35873929440023,0.209383523605529
"50","DGKA","Topic2",9.67725089410035,81,0.119472233260498,143,0.0706078261841761,0.048864407076322,1.55590232244798,-0.0441105396506941,1.60001286209868,5.4140746194258,5.35873929440023,0.290348575843924
"51","DGKA","Topic3",7.43089075731647,81,0.0917393920656354,143,0.0508904717073779,0.0408489203582576,1.26736294833664,-0.0437726150142265,1.31113556335087,5.4140746194258,5.35873929440023,0.236503938465716
"52","DGKA","Topic4",14.1640612295184,81,0.174864953450845,143,0.17497385375531,-0.000108900304464837,-0.0157554964068641,-0.0192495852615505,0.00349408885468644,5.4140746194258,5.35873929440023,0.00294014982653256
"53","DGKA","Topic5",12.928622481493,81,0.159612623228308,143,0.143699869205325,0.0159127540229834,0.387175536028413,-0.0701731259931791,0.457348662021593,5.4140746194258,5.35873929440023,0.0722512357399069
"54","DGKA","Topic6",22.9214488875682,81,0.282980850463805,143,0.339858358932387,-0.0568775084685814,-1.0105112756354,-0.0765696491066168,-0.933941626528786,5.4140746194258,5.35873929440023,0.188572576518392
"55","DGKZ","Topic1",7.43523388622674,37,0.200952267195317,143,0.219969620215425,-0.0190173530201079,-0.420073102200288,-0.0138898989737331,-0.406183203226554,5.12069479997072,5.21269390464088,0.0805865661565693
"56","DGKZ","Topic2",4.20487743732716,37,0.113645336143977,143,0.0706078261841761,0.0430375099598012,1.06492155604997,-0.0441105396506941,1.10903209570067,5.12069479997072,5.21269390464088,0.204293897844619
"57","DGKZ","Topic3",4.09297479587588,37,0.110620940429078,143,0.0508904717073779,0.0597304687217,1.94931726208311,-0.0437726150142265,1.99308987709734,5.12069479997072,5.21269390464088,0.373955827398119
"58","DGKZ","Topic4",6.03388193791364,37,0.163077890213882,143,0.17497385375531,-0.0118959635414273,-0.242544279737393,-0.0192495852615505,-0.223294694475842,5.12069479997072,5.21269390464088,0.046529545792331
"59","DGKZ","Topic5",3.76593622688979,37,0.101782060186211,143,0.143699869205325,-0.0419178090191142,-1.08979937530379,-0.0701731259931791,-1.01962624931061,5.12069479997072,5.21269390464088,0.20906644342449
"60","DGKZ","Topic6",11.4670957157668,37,0.309921505831535,143,0.339858358932387,-0.0299368531008519,-0.446038329266326,-0.0765696491066168,-0.369468680159709,5.12069479997072,5.21269390464088,0.0855677193838711
"61","HAVCR2","Topic1",12.8767722115797,64,0.201199565805933,143,0.219969620215425,-0.0187700544094922,-0.434236500886013,-0.0138898989737331,-0.42034660191228,3.95485021678588,3.90650306946968,0.111157342811191
"62","HAVCR2","Topic2",5.03095203063827,64,0.0786086254787229,143,0.0706078261841761,0.00800079929454676,0.135421632297465,-0.0441105396506941,0.179532171948159,3.95485021678588,3.90650306946968,0.0346656920241071
"63","HAVCR2","Topic3",6.39008778625741,64,0.0998451216602721,143,0.0508904717073779,0.0489546499528942,1.59082534976268,-0.0437726150142265,1.6345979647769,3.95485021678588,3.90650306946968,0.407224907154274
"64","HAVCR2","Topic4",10.90298960138,64,0.170359212521562,143,0.17497385375531,-0.0046146412337473,-0.118013999479469,-0.0192495852615505,-0.0987644142179185,3.95485021678588,3.90650306946968,0.030209626712386
"65","HAVCR2","Topic5",11.0050250096174,64,0.171953515775272,143,0.143699869205325,0.0282536465699469,0.58320286978776,-0.0701731259931791,0.653375995780939,3.95485021678588,3.90650306946968,0.149290262778913
"66","HAVCR2","Topic6",17.7941733605272,64,0.278033958758238,143,0.339858358932387,-0.0618244001741484,-1.0448027172563,-0.0765696491066168,-0.968233068149679,3.95485021678588,3.90650306946968,0.267452168519128
"67","LAG3","Topic1",5.23495733912109,34,0.153969333503562,143,0.219969620215425,-0.0660002867118635,-1.54649137780865,-0.0138898989737331,-1.53260147883492,5.76536063008809,5.67851431224879,0.272340843532401
"68","LAG3","Topic2",3.44113140644341,34,0.101209747248336,143,0.0706078261841761,0.0306019210641594,0.778877311939291,-0.0441105396506941,0.822987851589985,5.76536063008809,5.67851431224879,0.137162164099722
"69","LAG3","Topic3",2.58588067086507,34,0.0760553138489725,143,0.0508904717073779,0.0251648421415947,1.1771845978725,-0.0437726150142265,1.22095721288673,5.76536063008809,5.67851431224879,0.20730503317272
"70","LAG3","Topic4",7.80910183772405,34,0.229679465815413,143,0.17497385375531,0.0547056120601038,1.04625961744678,-0.0192495852615505,1.06550920270833,5.76536063008809,5.67851431224879,0.184248829872623
