,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
RPS27,-0.0001427158514045924,0.04012370734653826,-0.0006653078097249684,-0.008129597465830243,0.002597655423529217,-0.01587491396993882,-0.0987276086368407,-0.008301789781881489,0.016507198119797607,-0.04295474328487523,-0.00042347125951418523,0.01318758216445697,-0.022180079066342073,-0.019353169295584793,0.00018743434858645118,-0.02222376795078049,-0.057416011533578046,-0.00934911436842763,-0.039836984340532997,0.0026938315036656954,-0.030526548572251528,-0.4102339283082346
EEF1A1,0.07844103646679083,0.030062355234312402,0.005953445108410089,-0.08790725011880135,-0.0012718916727137036,0.039624581288625345,-0.07226505066175368,-0.0022257126434570545,0.012431017628322362,-0.07514675854880609,0.011994342017743215,-0.05971355572986427,-0.022259427131317653,-0.016435862076748697,-0.0007455857119495949,-0.10475652185622115,-0.042323079851053186,-0.0032007626150452936,-0.08633254418835502,-0.0026718846662441343,-0.054911212932701306,-0.054044207394933
PTMA,0.0352522954391032,0.018597820519236544,-0.0020845506505147594,-0.015393430695557642,0.001539683507905198,-0.0447018199803968,0.1272649789981128,-0.012780140022833824,0.0017364413695041409,0.0698200124735813,0.003325113650091075,0.007643902166334277,0.003826687309021243,0.023943125469194276,-0.0032468144783576545,0.035739457507888955,0.046784037363623104,0.008733876082682925,0.043437111951040226,-0.0026613863504300656,0.0524940268163403,0.28329381138473086
CCL3,-0.14761576721518282,-0.040613669218871364,-0.0057789686838267355,0.10860122113805057,-0.004371929199159673,-0.0009832898200153742,-0.046536981492630684,-0.025612048852499233,-0.0023765770105676643,0.022557507794821543,-0.0017257947283981917,0.05215364875384057,-0.012912563347210668,-0.004961154115803476,-0.0011290294958549011,0.020026498465973583,0.03997737186685847,-0.027611096007905307,0.01991226434965345,0.02660074714893689,0.018987867990112976,0.10941164637172049
RPS2,0.09350359535930253,0.006950282300127922,-0.05346818836513645,-0.0182964674766901,-0.0032374353581543897,-0.005108087890163669,0.025343408393269318,0.0046530618966667625,-0.015333149705358724,-0.006535810986379767,-0.0023649862060942067,-0.13750525095582522,-0.006180208853526796,-0.020030221589997534,-0.001981003051159858,-0.042506908464119614,-0.06484569557464204,-0.0001524978045089469,-0.02335390210471002,0.0006359128367232682,-0.00385719009361657,0.19556420322705023
CD74,0.14178008742825038,-0.011250999583217132,0.010962086309985604,-0.16632805966307074,-0.0019776859701264474,-0.012616435697637512,0.03375823205993714,-0.034086752103782994,-0.004690771892730278,-0.010416141065967832,0.013772345517653932,0.0068145220713731885,-0.030318119124695255,0.00398676007683983,-0.002900782616815441,-0.12223615558593087,-0.013028961315870058,0.018089784509548762,-0.14410729327098193,-0.014445237100075203,0.010049442786171179,0.36034163793556034
MT-CO1,0.02285818716016519,0.017761564944786968,-0.016413380654879465,-0.04430283396133374,0.0002687653729445326,0.009256347113541065,0.004652114610802258,0.0001160180825309382,-0.0020022189321395804,-0.07330967321512646,0.0030206623447590706,-0.016836669808335238,-0.010900162469844132,-0.010674522187429966,-0.002222223289226411,-0.03661998604235179,-0.029597542841813658,-0.0035185157324482837,-0.0953866217014944,-0.00030228179548256106,-0.06269510450115531,-0.29878746474650153
MT2A,0.09306776620988176,0.016432548857489165,-0.01261849026055333,0.06687160795120217,-0.004127886483046909,0.13502260559666868,0.07495869386086594,0.013060281647780576,0.02490328482577691,0.041147059225504726,8.659540464190231e-05,-0.07898508612215266,0.019471547203333557,0.006014637475113512,-0.00036664621622027957,0.053558253310529116,-0.010048510244522905,0.018654692121458837,-0.021959028222011533,-0.01162959174228738,0.03362039095496112,0.29123091054110406
MT-CO2,-0.005555401823475354,-0.0071753578556843015,0.01094999398257143,0.022362270884505195,-0.000645170896327152,0.0256146425021645,-0.021359783587007304,0.009299447066516048,-2.7639599707673587e-05,0.02211256859727355,0.0014624774487181397,0.011468144146403335,0.008578761863311786,0.004664019270039529,0.0009434285396322198,-0.007506825816556108,0.012223745523221545,0.002620401216992294,-0.039662190795317354,-0.0010337745516313254,0.01905965693778778,0.15079293795695173
TRBC1,0.025392681398334203,0.013587937877588784,-0.013270413419171694,-0.014643649215008032,-0.00021563986392154704,0.017087785359216023,0.03840641872408264,0.004606221769069603,0.004930024969265639,-0.028370671192434742,0.003843028280642369,-0.023924841924328602,0.0006753723397438178,-0.0003863401000220129,-0.0004417857987048969,-0.015113914171872214,-0.007023775243909591,-0.0011379783444770283,-0.0006222687492585793,3.131557931578479e-05,-0.025464514505956257,-0.060317106918842164
TPT1,-0.051502834719616336,0.010836739674883657,0.02488163058997226,-0.020101735096193854,0.0045260453503078914,-0.05094626216181256,-0.12247635078480101,-0.015750761987435254,-0.003872499924170516,-0.044265104886245486,-0.0016032677470982815,0.10121605024857161,-0.026889949103462703,-0.012740768906733202,-0.0006289802636940702,-0.054972095411284796,-0.03539295591184839,-0.0046058528439276636,-0.03421291006992057,0.0011292728261029638,-0.03249220032977864,-0.43910476332072923
S100A4,-0.08313991620300339,-0.07061594367662569,0.004281488042513843,-0.09901593928787758,0.0020713749798334795,-0.012487664886182519,0.06277470438402744,0.021574335864518946,-0.048429899308505976,-0.005627694281895051,0.011839427973084285,0.06610737288831438,0.018155950889064857,0.009397907587337224,-0.00032316608550896384,0.007580335395829009,0.0627417884713284,0.01620775289569604,-0.05227650085419896,-0.010921154051813205,-0.00889709682138667,0.19795077988471027
RPS15A,0.0758216006873124,0.051387048663350955,0.0322160866193739,-0.0578270407874457,-0.002321275512122987,0.04046941980076158,-0.13805010175968324,-0.002316842898110932,0.022473797778247623,-0.06040422669528544,0.00755435084901083,-0.02512270942657878,-0.021588304002280782,-0.018464562014944518,0.00018235258105992835,-0.09655410467584273,-0.055464494416702294,-0.008662486040414996,-0.0035697997280378715,0.0026642444020221426,-0.03841204132796822,-0.04827488045467329
TUBB,0.019205203623548776,0.0036193925723666423,0.0008658471099396554,-0.005575803725459776,0.0008279206491737484,0.0022998314656160887,0.12516077087264996,-0.008017093745890365,0.019755549565788223,0.04103684934550028,0.006500701278626796,-0.012393380270790158,0.002964539913552131,0.05197957529775971,0.002186329862750008,0.01926997261631857,0.11271143502043386,-0.0052883665800049,-0.018979784875292626,0.0033308054823990066,0.027846753003013248,0.313714472176779
GZMA,-0.12257116620242477,-0.08267098678032384,0.0016454921764063992,-0.016604356407796457,0.0020698896141902977,-0.0651407506507162,0.020217375789727925,-0.01980915624452949,-0.039717502805638634,-0.004488735453784795,0.001662658677105819,0.08591494853957109,-0.018580994390790098,0.00947491439939046,-0.002387591150263873,0.0033214259275785468,0.048134730401184045,0.001406585218914534,0.00400995079454847,-0.00031559347727909393,-0.004219675457563565,0.003003678055438913
CCL4,-0.1424227244897969,-0.040853725111083324,-0.0026260316801920503,0.1304862492187635,-0.004264016318281357,0.020160165602849844,-0.04655420790705355,-0.024305102386047935,0.003035223481407549,0.017089442732048113,-0.002294837892608395,0.04233899457066649,-0.013307485236357908,-0.002323395322518149,-0.001307426578884321,0.026322035328430856,0.03539949252128763,-0.025149261735448826,0.019259819018214924,0.023628639958455874,0.014455961966672818,0.06403688026185175
