,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
72378,AHI1,-0.43356358379695065,0.041185036977859635,-10.52721123038027,0.0,6.472361548976241e-26,2.0258491648295636e-23,0.005079331821637746,0.3346211634083239,SOCS1
72379,MAP7,0.0,inf,,0.0,,,,,SOCS1
72380,RP3-325F22.5,0.0,inf,,0.0,,,,,SOCS1
72381,MAP3K5,-0.3921227857058792,0.12775345788613415,-3.06937121072195,0.0,0.0021450987150386943,0.003031223014930525,0.6046958324946108,0.9776078384551253,SOCS1
72382,IFNGR1,-0.24808993066845197,0.08743151860663992,-2.837534273934148,0.0,0.004546346542589153,0.0060942461149053745,0.5346954750273092,0.9776078384551253,SOCS1
72383,RP11-356I2.4,-0.20334003178336646,0.0976653426800496,-2.082008071681126,0.0,0.03734173245147757,0.043208732929066476,0.3384902300592906,0.9776078384551253,SOCS1
72384,TNFAIP3,-0.43658242055897645,0.0648238453968312,-6.734904692653701,0.0,1.6403742238303524e-11,1.1192090072128617e-10,0.2653069527831501,0.9776078384551253,SOCS1
72385,PERP,-0.43035099275341115,0.06577116804300995,-6.543155695091052,0.0,6.023406267304113e-11,3.599668089100119e-10,0.3036750325286661,0.9776078384551253,SOCS1
72386,RP11-390P2.4,0.0,inf,,0.0,,,,,SOCS1
72387,ECT2L,0.0,inf,,0.0,,,,,SOCS1
72388,HECA,-0.23736158242601763,0.0708095923969673,-3.3521105600402183,0.0,0.000801979847014355,0.0012282309094336055,0.6952006934760647,0.9776078384551253,SOCS1
72389,RP1-225E12.2,0.0,inf,,0.0,,,,,SOCS1
72390,TXLNB,0.0,inf,,0.0,,,,,SOCS1
72391,CITED2,-0.3360604446263146,0.04852315333815924,-6.9257750477241204,0.0,4.3359500132534775e-12,3.340682717903602e-11,0.2305687354210677,0.9776078384551253,SOCS1
72392,HIVEP2,-0.3521624597882121,0.08850286032336097,-3.9791082288360378,0.0,6.917424762449736e-05,0.00012736199709686868,0.9102531427170295,0.9919840538658412,SOCS1
72393,RP1-67K17.4,0.0,inf,,0.0,,,,,SOCS1
72394,PHACTR2,-0.17069188710153274,0.06331894387437574,-2.6957475386858003,0.0,0.0070230873386554395,0.009116542610675595,0.49399654112928204,0.9776078384551253,SOCS1
72395,UTRN,-0.201975425752845,0.04580203510102874,-4.409747848700036,0.0,1.0349105103363789e-05,2.2111057319814787e-05,0.937059517538217,0.9958002660606243,SOCS1
72396,RP3-466P17.1,0.0,inf,,0.0,,,,,SOCS1
72397,SHPRH,-0.2266992248791531,0.05264294843005075,-4.3063550131577335,0.0,1.6596662310935193e-05,3.3980410814866496e-05,0.9737191025644137,0.9975692853532778,SOCS1
72398,STXBP5-AS1,0.0,inf,,0.0,,,,,SOCS1
72399,STXBP5,0.0,inf,,0.0,,,,,SOCS1
72400,TAB2,-0.35371910227962833,0.05735140239331766,-6.167575464917353,0.0,6.934502068921559e-10,3.339229457803766e-09,0.38901400670414155,0.9776078384551253,SOCS1
72401,SUMO4,-0.6400009065282704,0.1351434427846872,-4.735715572585571,0.0,2.1828354174865346e-06,5.180871929276097e-06,0.8227103996645491,0.9883312303162055,SOCS1
72402,ZC3H12D,-0.41216049172455366,0.05607348777715705,-7.3503630336413215,0.0,1.976692406874075e-13,2.07097815347811e-12,0.16517150365982447,0.9776078384551253,SOCS1
72403,RP1-12G14.7,0.0,inf,,0.0,,,,,SOCS1
72404,LATS1,-0.28880756221771914,0.10091033875206429,-2.8620215310872803,0.0,0.004209483093272203,0.00567000842687122,0.5418918770093671,0.9776078384551253,SOCS1
72405,AL358852.1,0.0,inf,,0.0,,,,,SOCS1
72406,RP11-350J20.5,0.0,inf,,0.0,,,,,SOCS1
72407,PLEKHG1,0.0,inf,,0.0,,,,,SOCS1
72408,AKAP12,0.0,inf,,0.0,,,,,SOCS1
72409,SYNE1,-0.21629280439163426,0.0504712608763069,-4.285464651293667,0.0,1.82357643356742e-05,3.7033539251036656e-05,0.9811353761121591,0.9975692853532778,SOCS1
72410,FBXO5,-0.24025313185917602,0.04520306256533116,-5.314974654912874,0.0,1.0667217331984453e-07,3.2653682395218915e-07,0.6298777639148854,0.9776078384551253,SOCS1
72411,RP1-101K10.6,0.0,inf,,0.0,,,,,SOCS1
72412,RGS17,0.0,inf,,0.0,,,,,SOCS1
72413,RP11-306O13.1,0.0,inf,,0.0,,,,,SOCS1
72414,IPCEF1,-0.36852138157246545,0.07558741780997774,-4.875432872953885,0.0,1.0857011209064822e-06,2.69434648835464e-06,0.774685915613975,0.9797244219322458,SOCS1
72415,ARID1B,-0.13210725713596597,0.07421211962189012,-1.7801304936316453,0.0,0.07505460716985723,0.08290107470371527,0.27504248744133586,0.9776078384551253,SOCS1
72416,ZDHHC14,-0.30614065884333574,0.09236806583698672,-3.3143560609314893,0.0,0.0009185445822135441,0.0013914311154644369,0.6828241435207969,0.9776078384551253,SOCS1
72417,SNX9,-0.4366557232960476,0.05534186511712054,-7.8901519197437375,0.0,3.018188966962465e-15,4.7531730649522086e-14,0.10349168894545392,0.9776078384551253,SOCS1
72418,SYNJ2,-0.230404602206213,0.09750606646468589,-2.362977100400819,0.0,0.018128789760447538,0.02204686234102022,0.4053591327748802,0.9776078384551253,SOCS1
72419,TULP4,-0.28556385211347085,0.08601431501738771,-3.3199572891529088,0.0,0.0009003122101510103,0.0013654644301745182,0.6846550385963761,0.9776078384551253,SOCS1
72420,TMEM181,-0.48082464041208717,0.07162858187088567,-6.712748289206663,0.0,1.9099242450497185e-11,1.2826970721409275e-10,0.26956144351379474,0.9776078384551253,SOCS1
72421,SYTL3,-0.1490544138285576,0.05243721791221784,-2.842530930570747,0.0,0.004475688799440358,0.006002744913657555,0.5361599859712209,0.9776078384551253,SOCS1
72422,RP1-111C20.4,0.0,inf,,0.0,,,,,SOCS1
72423,TAGAP,-0.34703980637022136,0.06624899725731127,-5.238415987223442,0.0,1.6196067372915548e-07,4.81650269617346e-07,0.6542821940738881,0.9776078384551253,SOCS1
72424,ACAT2,-0.07157135390826451,0.029439120154501702,-2.4311648423134047,0.0,0.015050365461019993,0.018601241418753238,0.4227053035264877,0.9776078384551253,SOCS1
72425,MAS1,0.0,inf,,0.0,,,,,SOCS1
72426,IGF2R,-0.594688244357835,0.07851928231598372,-7.573786041047113,0.0,3.625012669136139e-14,4.4278203529350695e-13,0.13692597419543934,0.9776078384551253,SOCS1
72427,AIRN,0.0,inf,,0.0,,,,,SOCS1
72428,RP1-168L15.5,0.0,inf,,0.0,,,,,SOCS1
72429,RP11-514O12.4,0.0,inf,,0.0,,,,,SOCS1
72430,RNASET2,-0.19364176097736538,0.04136750153419168,-4.681011755503622,0.0,2.854625678317434e-06,6.630781724032332e-06,0.8417069022221548,0.9904171561744934,SOCS1
72431,CCR6,0.0,inf,,0.0,,,,,SOCS1
72432,TCTE3,0.0,inf,,0.0,,,,,SOCS1
72433,PDGFA,0.0,inf,,0.0,,,,,SOCS1
72434,RP11-449P15.2,0.0,inf,,0.0,,,,,SOCS1
72435,GPR146,0.0,inf,,0.0,,,,,SOCS1
72436,RP11-1246C19.1,0.0,inf,,0.0,,,,,SOCS1
72437,MAD1L1,-0.8171553865273293,0.07237296901006114,-11.29089213424048,0.0,1.455517392159285e-29,1.822307774983425e-26,0.0016786271664638289,0.3007646628495243,SOCS1
72438,CHST12,-0.2122805944825361,0.03849726066790714,-5.514174016529486,0.0,3.5042175300808475e-08,1.1938177816765227e-07,0.5682937896302982,0.9776078384551253,SOCS1
72439,LFNG,-0.16704239261444348,0.10387764794215196,-1.608068683914244,0.0,0.10782013692780686,0.11627115541224305,0.2427617708746277,0.9776078384551253,SOCS1
72440,FOXK1,-0.5143811774006106,0.1081576964957114,-4.755844420383033,0.0,1.9761862261621353e-06,4.717226225271675e-06,0.8157458827347576,0.9864890567020864,SOCS1
72441,RBAK,0.2236398055450074,0.1138925257378812,1.9636038809052747,0.0,0.04957604699591492,0.05629860393549703,0.005816915241307976,0.3346211634083239,SOCS1
72442,TNRC18,0.0,inf,,0.0,,,,,SOCS1
72443,ACTB,0.021483852659124378,0.012244123821659783,1.7546255634167607,0.0,0.07932337589537859,0.08715477544626064,0.007700957344083652,0.36515120557695774,SOCS1
72444,FSCN1,-0.23630705984698747,0.09059726750054614,-2.608324360837516,0.0,0.009098669184944968,0.011600339938443074,0.46975374886515486,0.9776078384551253,SOCS1
72445,RNF216,-0.32480922568431586,0.05323596577738172,-6.101311790652572,0.0,1.0520146506135002e-09,4.7803625921364954e-09,0.40545879058597867,0.9776078384551253,SOCS1
72446,OCM,0.0,inf,,0.0,,,,,SOCS1
72447,ZNF853,0.0,inf,,0.0,,,,,SOCS1
72448,C1GALT1,-0.2557429996112033,0.04200247121867261,-6.088760784568081,0.0,1.137879874138574e-09,5.106184954915751e-09,0.40861974658605105,0.9776078384551253,SOCS1
72449,RPA3,-0.0393802816686757,0.024959064723601508,-1.5777947653397992,0.0,0.11461276680947373,0.12322471794371928,0.23736960714205302,0.9776078384551253,SOCS1
72450,GLCCI1,-0.362195709521129,0.07482048228548184,-4.840863069274941,0.0,1.2927643171134583e-06,3.1861041831221454e-06,0.7864961579502631,0.982835129572396,SOCS1
72451,TMEM106B,-0.21696031721820438,0.05271112527941566,-4.1160251477865915,0.0,3.854622669827194e-05,7.424596280959456e-05,0.9587079244028995,0.9967256506313841,SOCS1
72452,ISPD,0.0,inf,,0.0,,,,,SOCS1
72453,GS1-166A23.2,0.0,inf,,0.0,,,,,SOCS1
72454,TSPAN13,0.0,inf,,0.0,,,,,SOCS1
72455,SNX13,-0.4164067617666082,0.0806773087181299,-5.16138637223818,0.0,2.4512766060382555e-07,7.014853281736905e-07,0.6792154168743104,0.9776078384551253,SOCS1
72456,SP4,-0.2327369647718722,0.0745703788947621,-3.121037712579195,0.0,0.0018021495357546183,0.0025786185357311794,0.6208388343990852,0.9776078384551253,SOCS1
72457,FAM126A,-0.1627484975345537,0.038368152324427834,-4.241760097239206,0.0,2.2177368010165657e-05,4.4390191444808e-05,0.9966554207865645,0.9994494087503234,SOCS1
72458,TRA2A,-0.3849092282893513,0.042464722907049425,-9.064211466347608,0.0,1.2550874939966789e-19,6.285478169935368e-18,0.03149581268872318,0.6572126247713571,SOCS1
72459,CYCS,-0.07311664402928775,0.027170264606107334,-2.691053807876887,0.0,0.007122670573154231,0.009241019230662277,0.492678165387065,0.9776078384551253,SOCS1
72460,C7orf31,0.0,inf,,0.0,,,,,SOCS1
72461,CTB-119C2.1,0.0,inf,,0.0,,,,,SOCS1
72462,HNRNPA2B1,0.01950767497958938,0.02015898298851336,0.9676914252422805,0.0,0.33319850181558885,0.34151823518061175,0.020633262914261145,0.5555450573904291,SOCS1
72463,SKAP2,-0.3394191518944455,0.06912681561714397,-4.910093845119447,0.0,9.103281727545287e-07,2.302486610684182e-06,0.7628966401979407,0.9790938620927082,SOCS1
72464,HOTAIRM1,-0.6422399968491556,0.11210185921975101,-5.729075336655973,0.0,1.0097954433985434e-08,3.8022974289773724e-08,0.5052688552839791,0.9776078384551253,SOCS1
72465,JAZF1,0.0,inf,,0.0,,,,,SOCS1
72466,CHN2,0.0,inf,,0.0,,,,,SOCS1
72467,SCRN1,0.0,inf,,0.0,,,,,SOCS1
72468,MTURN,-0.7348952115244007,0.12766402350320782,-5.756478539202041,0.0,8.588669506152514e-09,3.298470620154278e-08,0.49750529381793007,0.9776078384551253,SOCS1
72469,ZNRF2,0.0,inf,,0.0,,,,,SOCS1
72470,LINC01176,0.0,inf,,0.0,,,,,SOCS1
72471,AVL9,-0.2197498035588799,0.07787508485459167,-2.8218242582874438,0.0,0.004775133683493362,0.006370236943775908,0.5301040841479558,0.9776078384551253,SOCS1
72472,BBS9,-0.42656269877198166,0.14900133031622392,-2.8628113444805643,0.0,0.004199004948798257,0.00565893885456988,0.5421247921790431,0.9776078384551253,SOCS1
72473,HERPUD2,-0.06898109009384745,0.05325818713849895,-1.2952203933352218,0.0,0.19524421170140627,0.20464274010059494,0.19108845624794069,0.9776078384551253,SOCS1
72474,RP11-379H18.1,0.0,inf,,0.0,,,,,SOCS1
72475,SEPT7-AS1,0.0,inf,,0.0,,,,,SOCS1
72476,KIAA0895,0.0,inf,,0.0,,,,,SOCS1
72477,AOAH,0.0,inf,,0.0,,,,,SOCS1
72478,TRGC2,-0.35286083110511185,0.05972227389719298,-5.908362292308778,0.0,3.4552547204873748e-09,1.4183537410000633e-08,0.4556514643078533,0.9776078384551253,SOCS1
72479,TRGC1,0.08099491793008255,0.10046504454483599,0.8061999902258121,0.0,0.4201275443597181,0.42886236081399676,0.02491320349115087,0.6092257683537173,SOCS1
72480,TRGV10,-0.35096975635707445,0.14951596614525817,-2.347373096035104,0.0,0.018906312393613147,0.022914523830400445,0.4014503010622297,0.9776078384551253,SOCS1
72481,TRGV9,0.0,inf,,0.0,,,,,SOCS1
72482,RP11-121A8.1,0.0,inf,,0.0,,,,,SOCS1
72483,TRGV8,0.0,inf,,0.0,,,,,SOCS1
72484,TRGV7,0.0,inf,,0.0,,,,,SOCS1
72485,TRG-AS1,-0.11095212034604039,0.045268742493127144,-2.4509653733563623,0.0,0.014247365827988889,0.017687359461221706,0.42782263357308636,0.9776078384551253,SOCS1
