,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
TUBB,0.008692032937901759,0.0001396180667738921,-0.0016149319639600923,0.002762877236687872,-0.0008663094632176707,0.0007675597106885008,0.0021754917292101305,-0.003382344686936745,-0.002244425137230924,0.0008779093019865565,-2.7126816337686398e-05,0.00021426667404309777,-0.001193502462247805,-0.003225815005583941,-0.00024360193132596467,-0.013062157573749456,0.0008193020147124128,0.0003155611126594205,-0.03690638793854493,0.0007533589736779244,5.1272987461222104e-05,-0.44313391282588677
GZMA,-0.10613011036628708,-0.0005918132049033247,0.0009659931603086842,-0.013423117700352243,0.004201321686576783,-0.0010627433362531795,0.003329881961180128,0.012911906362606914,0.026706957610727694,-0.009653952159615495,-0.0003162929996272303,0.001248888870594195,0.0013945592577917399,-0.013283866683831316,0.03825206487252471,0.0028519980789399792,0.00013505926026596685,0.0005917018648565471,0.018987566256426495,0.0018269386098184283,-5.00397322601836e-05,0.0131595662511352
CCL4,-0.041004016248762515,-0.00022340632536397656,0.0003770274766707333,-0.005830963790454934,0.0007422642474025796,-0.0017866132950274986,5.972742286851422e-05,0.005411952548425955,0.014159018693038532,-0.0043982084963696995,-0.00019094547179900322,0.001239988867585065,-0.002928754930754118,-0.003476596987921538,0.0013451313371947507,0.00909389761462099,-0.00026841932944219704,0.00045538383614273113,0.01012849058146894,0.0009252144605981488,1.3312778446308306e-05,-0.08838348832990725
RPL41,0.05912566469615485,0.00035444393154927535,0.005038124458165953,-0.03318998619683219,0.010350535966410255,0.0003706686891610676,0.0691960434087623,0.03744116417738206,0.0026905319571392883,0.0017455372320402357,-0.0014179086088048306,0.003979286841653593,0.0009507070388466291,-0.0020061352066955756,-0.07438187866664862,0.059845171732849936,0.0010205226724355782,-0.0005698509440197443,0.04782653007657628,-0.0015141780771193688,-0.0005610713371371914,0.1635756185544441
FTL,-0.07753168824953448,-0.0005635840233893265,0.0009358995695874668,-0.006934169633291997,0.0017953496717398377,0.001140649452038227,-0.022488392768442098,0.007025011337435591,0.006846505940891046,-0.00495179823558978,0.0006398834590782428,0.0003968857532106902,0.005160856948433515,-0.0020259224428306323,0.02806222539193567,-0.0026500566609579572,0.00045553743731451603,-0.00018469588199311517,0.07615579316767057,0.0007183255004310618,0.00014124326005516364,0.16946586259673968
STMN1,0.010486017259361432,8.487695275202866e-05,-0.0012967132422893827,0.002057608723338255,-0.0007889120017264478,0.0003850632183800793,0.016344091578699343,-0.002326795992496411,-0.0006278329808460125,0.0005328332658240534,-0.0002522785866386478,-0.00017994364331900615,-0.0006584160008297544,-0.0060832605236795755,-0.005101257932589868,-0.007988603084636262,0.0005225784641949676,0.00016692321651090586,-0.07473405280123152,0.0005503768998323715,-3.430215260691217e-05,-0.45939311921590054
YBX1,0.010295965681334911,9.690779985972664e-05,-0.0018109098032947045,0.00520469025005042,-0.0016444038497330823,0.0003126635587533897,0.018961047904777855,-0.005985734407029252,-0.0013451069952412228,0.0005330100793604851,-0.0002789907298677097,-6.277610764565092e-05,0.0006037078907744104,0.004150509122997076,0.0066892153561034125,-0.010902705571259387,-0.0005538304716235382,-0.0001892634218395891,0.03242423434933268,-6.827735898815753e-05,-0.00017109681984982798,-0.43975584761821535
MT-ND1,-0.014447816089613688,-0.00010623102982760186,-0.0026845042114046597,0.017393669556827345,-0.004938491531111312,-0.0005549972645628304,-0.04827544171327576,-0.01985192773828474,0.0007319925648444576,0.0006130786979916523,0.0011440803213778104,-0.0015165361797554978,0.0029242617983166195,0.00595259348988661,0.018896465550527895,-0.006412564674697337,-0.0005746641483606723,7.049762505772688e-05,0.018122777552789605,8.930514912719868e-07,0.0002311417882226684,-0.06386927967698669
HLA-DRA,0.02209083836317155,-0.0003499437987572834,-0.001392298583632516,0.0039048657913898686,-0.0013533288927903525,-0.007635696309007116,-0.005754221342115029,-0.0056514022974145164,0.0017973664351181727,-0.0013310252593581164,-0.0004778818500430132,1.59817475639424e-05,-0.007254541411230929,-0.00619313976909975,0.05029273243730395,-0.06563962406877688,-0.00046786433032495263,0.0007439130087428451,-0.015972954570496335,0.0006249842035172431,0.00021523891596514306,-0.3285590147209063
MT-ND4,-0.005343203652633967,-6.364285468397017e-05,-0.001198043083278915,0.006038592508184298,-0.0017969740419054496,5.230256416910626e-05,-0.014969519290058022,-0.006961359483297659,0.0011661500404096506,0.0002433107522896332,0.00040326456771524745,-0.00042380213252998734,0.0005449649657589129,0.003962266903005888,0.005589576117482141,-0.00453035221016089,-0.00014343974042102444,-4.2225199800797655e-05,0.07600189360919163,-7.372168231411207e-05,1.5070693681039848e-05,-0.11105094652448615
HMGN2,0.0018660356421459552,4.9796400313886886e-05,-0.0014166176846959738,0.003341759383018115,-0.001370222340559861,0.0008204471532359583,0.018248792463558188,-0.003819191637539413,0.0019300890886919666,0.0001171678949316796,-0.00035818105813441466,-0.00044568177399964076,-0.0020231739778236077,-0.0012133981632832394,-0.005393071135835896,0.004799094054326322,0.00019597620697292875,0.0002932414083730611,-0.017207620017158705,0.0003490523776809463,-0.00012024104567838768,-0.47438323921949166
IL7R,0.02469863544854966,0.0001548127582646936,-0.0015647399624265596,0.01610178696139782,-0.003899089776289484,-0.0005360544786277643,-0.014710821385182168,-0.017295203289426762,-0.005121906879533997,0.0030986541654219285,9.193664338898636e-05,-0.0020547796664817397,0.010588327627675649,0.007848235126561616,0.001723276765523777,-0.0006811497531131264,-0.001984389037444339,-0.00108818109440309,-0.03966241623301643,-0.000435576034498448,3.705247991098542e-05,0.6478704813664171
TRAC,-0.018936156770704152,-0.000147346514620657,0.0018412126684620785,-0.014758672037750581,0.004159285864143539,0.0005192654750774032,-0.012383937244185352,0.015890208465529413,-0.0007119064250483922,-0.0012359909781351367,0.0001616445904296894,0.00126189847537475,0.003920050144935501,-0.006799267628403066,0.009995280832057429,-0.01686029732599975,0.0011543390560624547,-0.00037836717210638736,-0.08680763750663711,0.0008643099120302683,0.0001322497248065969,0.16733797034748854
MKI67,-0.0034892939360098786,-3.844251742533847e-05,-0.0013050239723225757,7.832949105164556e-05,-0.00023459680988736952,0.000725670478324278,0.011782084099744268,-0.0006083324653378987,0.0012579988400757494,-0.0003518901015719092,-0.00019204342697570407,0.0005407226385120983,-8.406529964135687e-05,0.0004769780882291838,-0.0004138392080293531,-0.00019514407865716836,0.0011555852150750225,0.00034482471744180527,-0.017589624312745536,0.0004916732480469696,3.071190247444736e-05,-0.3604221795753572
