,gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj,trt
71992,FAM53C,-0.32419448370769116,0.08731180893079778,-3.7130657087249626,0.0,0.000204763696117025,0.0003442828108004886,0.8051890497752286,0.9901494640015683,SOCS1
71993,EGR1,-0.8498980650829779,0.2803753637106685,-3.0312865361452532,0.0,0.002435140373389722,0.003359798670115177,0.584800166385487,0.9899930783425118,SOCS1
71994,MATR3,0.0,inf,,0.0,,,,,SOCS1
71995,MATR3-1,-0.34325295355316565,0.16634097417162705,-2.0635502182342917,0.0,0.03906038174763897,0.044784605417559804,0.33112045584852756,0.9899930783425118,SOCS1
71996,CXXC5,1.0370250899971105,0.33762046025120074,3.071570630599608,0.0,0.002129357799284644,0.0029773613443509974,0.0012398286629540013,0.2667837647488688,SOCS1
71997,LINC01024,-0.6119861160993106,0.20049643952083854,-3.05235403462466,0.0,0.002270541291648352,0.003153594292710153,0.5911818346266082,0.9899930783425118,SOCS1
71998,IGIP,-0.27521942955874235,0.16664208468294517,-1.651560169103606,0.0,0.0986242454206112,0.1065346497819611,0.24891279623573492,0.9899930783425118,SOCS1
71999,EIF4EBP3,0.0,inf,,0.0,,,,,SOCS1
72000,DND1,-0.34829966415948577,0.1479091756447804,-2.354821211335559,0.0,0.018531619590251337,0.022187127037067832,0.3987812160031077,0.9899930783425118,SOCS1
72001,PCDHGA6,0.0,inf,,0.0,,,,,SOCS1
72002,ARAP3,-1.0699914177269496,0.25011033697336016,-4.278077550392957,0.0,1.8851434944279357e-05,3.768894711533547e-05,0.9985839894917635,1.0,SOCS1
72003,GNPDA1,-0.1667389940701286,0.05629366830846408,-2.9619493467093605,0.0,0.0030569807040174307,0.004170991313394751,0.5640263912342007,0.9899930783425118,SOCS1
72004,ARHGAP26,0.0,inf,,0.0,,,,,SOCS1
72005,NR3C1,-0.17734723239574468,0.04897070841663232,-3.6214961582118095,0.0,0.00029290415594697075,0.0004759253002091535,0.7741916333575963,0.9899930783425118,SOCS1
72006,PPP2R2B,-0.6689815342697594,0.18855162019765434,-3.5480020461690085,0.0,0.0003881652058930296,0.0006152009440002524,0.7495682776842089,0.9899930783425118,SOCS1
72007,JAKMIP2,0.0,inf,,0.0,,,,,SOCS1
72008,FBXO38,-0.490858397135803,0.08416798350996713,-5.831889712287996,0.0,5.480313887272787e-09,2.1072741040976472e-08,0.4933941961561753,0.9899930783425118,SOCS1
72009,CTD-2283N19.1,0.0,inf,,0.0,,,,,SOCS1
72010,ADRB2,-0.456819318820123,0.13157155889726233,-3.4720217853223923,0.0,0.0005165544164850353,0.0007994927418096001,0.7243778475569373,0.9899930783425118,SOCS1
72011,PDE6A,0.0,inf,,0.0,,,,,SOCS1
72012,CD74,-0.07729759366165538,0.06194834635810698,-1.2477749319540907,0.0,0.21211349135037882,0.2200539711460607,0.1833465238811407,0.9899930783425118,SOCS1
72013,ZNF300,0.0,inf,,0.0,,,,,SOCS1
72014,CCDC69,-0.1847823769682888,0.04010855941681015,-4.607055941551556,0.0,4.084101548808491e-06,9.24386529483661e-06,0.8835956654886107,0.9952222785200788,SOCS1
72015,MFAP3,0.0,inf,,0.0,,,,,SOCS1
72016,GALNT10,0.0,inf,,0.0,,,,,SOCS1
72017,FAXDC2,0.0,inf,,0.0,,,,,SOCS1
72018,TIMD4,0.0,inf,,0.0,,,,,SOCS1
72019,HAVCR1,0.0,inf,,0.0,,,,,SOCS1
72020,HAVCR2,-0.2806175091041759,0.0865325754690778,-3.24291178880321,0.0,0.0011831483619529715,0.001721000868246477,0.6503010643612592,0.9899930783425118,SOCS1
72021,ITK,-0.2868867648342984,0.04675184656740625,-6.136372911402945,0.0,8.442684529441589e-10,3.809057836866397e-09,0.4129069555931091,0.9899930783425118,SOCS1
72022,ADAM19,-0.632047977135551,0.14153322039036867,-4.465721725205384,0.0,7.979927828737805e-06,1.7157795577754756e-05,0.9328386391776298,0.995263781070964,SOCS1
72023,PWWP2A,-0.29917164253531475,0.05995180023474031,-4.990202818996477,0.0,6.031592874645732e-07,1.5805926342367859e-06,0.7528632990442665,0.9899930783425118,SOCS1
72024,PTTG1,-0.5017038058771173,0.1269265006436475,-3.9527112410171603,0.0,7.72706627268458e-05,0.00013907691755423642,0.8876525990253535,0.9952222785200788,SOCS1
72025,MIR3142HG,-0.14704543781284712,0.12913334427437048,-1.138710056950269,0.0,0.25482410668250843,0.26268425620317987,0.16805739967176947,0.9899930783425118,SOCS1
72026,ATP10B,0.0,inf,,0.0,,,,,SOCS1
72027,HMMR,-1.8351814623695577,0.5441634214290908,-3.372482217841792,0.0,0.0007449389662513682,0.0011215516026932446,0.6918266823446839,0.9899930783425118,SOCS1
72028,KCNMB1,0.0,inf,,0.0,,,,,SOCS1
72029,STK10,-0.30329970370165577,0.038869548397227234,-7.803015887966728,0.0,6.044493655050482e-15,7.942934137971678e-14,0.1207720151898213,0.9899930783425118,SOCS1
72030,DUSP1,0.0,inf,,0.0,,,,,SOCS1
72031,CTC-308K20.1,0.0,inf,,0.0,,,,,SOCS1
72032,CREBRF,-0.4291849174884215,0.04811465778277449,-8.920045101974598,0.0,4.66098354947989e-19,1.6601687458476398e-17,0.04108690863394803,0.7365712693516379,SOCS1
