,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
RP1-140A9.1,-4.972833980878284e-08,-4.972951554611206e-08,-4.9729253729238933e-08,0.0027145652816517427,-4.9729236188594676e-08,-4.972907960910843e-08,0.0030605337312763392,-4.972984218585373e-08,-4.972927072967042e-08,-4.972955660101821e-08,-4.972889001657385e-08,-4.9729384282313816e-08,-4.972926108074751e-08,-4.972956177513697e-08,-4.972888125874065e-08,-4.972892817416751e-08,-4.9728289273024107e-08,-4.972897220841195e-08,0.0019240063098021733,-4.9728915677139086e-08
CFAP74,0.0025958517235638847,-0.0016871592520474458,-0.001687150369499931,-4.030498921650157e-05,-0.001687149774422611,-0.0016871444621273037,0.003381116792730839,0.00016084342771676308,-0.0016871509463077382,0.0017549015484108227,-0.0016871380299056586,0.0012313718605953567,0.00023088362438317578,-0.001687160820459952,-0.0016871377327994672,-0.0016871393245021854,0.0011849262368740687,0.0007383018889183393,0.004662504212147164,-0.0016871389004965106
RP5-892K4.1,0.003578099492243528,-0.0019014994804963203,0.004941061492469857,0.0036496640960755554,-0.0019014887988143174,0.003813477536842807,0.004156528705938328,0.004321449058452019,0.0037459335764598277,0.0037064339879621885,-0.00013948248652457298,0.0026012194026452068,0.006839430396568979,0.004795239711196569,-0.0019014752273982733,0.0013041940997553596,-0.0019014525917315564,0.0020310996027710403,0.0011614471435255384,0.005372540129088741
SKI,-0.0016216803182728247,0.01184982181806255,-0.011281310326502373,-0.016495974442163108,-0.00043480845722498434,-0.012050825328712716,-0.007627167851492845,0.004732229025935655,-0.0239363046455217,0.0063318466904296235,-0.0007333774811068814,-0.012106513758875729,0.0003427388021601918,-0.004086511600343681,-0.012505862361430605,0.0024557509471147916,0.020471682342000672,-0.002584129947240448,-0.0330341426148661,-0.009253783023130601
PLCH2,0.0002861934724934752,0.005278882245643788,-0.008233642130298648,-0.0009724086465949264,0.003310522887038064,0.003521847161260131,0.00835175295248791,0.0010725268547238569,-0.00012906269571435802,0.0043813200671627625,-0.00034358885025664057,0.006328383773832629,0.0111024244448187,0.001175840345747996,-0.0017544574992389996,0.0036547889466312265,0.015138078131123162,0.018802515478556495,-0.000567899416899607,0.005241790476237275
RP3-395M20.2,-3.3119780000024025e-08,-3.3120563057619653e-08,-3.312038868620036e-08,-3.3120466561383875e-08,-3.312037700177349e-08,0.0034552583221146766,-3.311999980163911e-08,-3.3120780605277765e-08,-3.312040000958826e-08,0.0016724881995286097,-3.3120146445434445e-08,-3.312047563596007e-08,-3.31203935803803e-08,-3.312059384525436e-08,-3.3120140614935596e-08,-3.312017186244495e-08,-3.3119746341847827e-08,-3.3120201186487375e-08,-3.312060556727206e-08,-3.312016353855346e-08
RP3-395M20.12,0.023917853138450962,-0.016506624929130513,0.002849365378072749,-0.013460979254703078,0.012063799392602194,-0.024386324454828467,0.0014812974732271208,-0.021496039983991844,0.011087362999018332,-0.016802308460315628,-0.03379943784185047,-0.01432416070868763,0.007333491245040278,-0.015502974708695556,-0.005457709997211307,-0.01932659136563513,-0.009914822584865408,-0.03263497083890358,0.0003901732003964404,-0.0132218942108729
RP3-395M20.8,0.04678576992901483,0.010540455895991606,0.01789622416363733,0.008928876490530752,0.018054634720297114,0.024376797698732033,0.02721135079054841,0.010239973733524374,0.043165126591064334,-0.0038211739218352693,0.014310352546018363,0.016581604396898417,0.014585096389379739,0.021807128110307356,0.03236014482467753,-0.003490013373680741,0.011172403008976968,0.039974487832031065,-0.008143882809181628,0.018326258555607388
TTC34,0.009596575794074656,-0.004892437964693531,0.007447224973456717,0.002915671398863173,-0.00368654622841657,0.0034800226306515945,-0.005595579590125506,0.003920347744195847,0.0026217999811001132,0.0005654890435929293,-0.001674677034743328,-0.000589623837290959,0.006538855896048401,-0.0011649127733709141,0.004213392748663952,0.00230777271463004,-0.0019877092389704847,0.00895926675741637,0.002029611763553091,0.0030240508851768076
PRDM16,-2.882483038491884e-08,-2.882551190023737e-08,-2.8825360137379378e-08,-2.8825427913918562e-08,-2.8825349972504444e-08,-2.882525920948416e-08,-2.882502168697598e-08,-2.8825701231661212e-08,-2.8825369990377134e-08,-2.8825535694010827e-08,0.001750584332389853,-2.882543581580256e-08,-2.882536439874539e-08,-2.882553869584622e-08,-2.88251442354427e-08,-2.8825171433227488e-08,-2.8824801096277654e-08,-2.8825196955053998e-08,0.0027121996529114855,-2.882516418790328e-08
MEGF6,0.0016524461011279995,0.006438198241836297,0.011022359899283749,0.0009836635500933453,0.0007050247105301256,0.009290444903424327,-0.00017106902300502468,0.0024778348140650367,0.011434744952508888,-0.000767369184650696,-0.0003040070125380716,0.0006363977003192895,0.008135794483026648,0.006753432697246337,0.006890631560767837,0.0015265086524887273,-0.003827104025963876,-0.0011233436540685092,0.0061318071914070365,-0.0010873761624645652
RP11-46F15.2,-0.01424253042756529,-0.006705091238891897,-0.006706961900618115,-0.004935772142102412,-0.001972535718876716,0.009894953007058711,-0.011115179330813208,-0.008694556986336185,-0.006336691744286518,-0.002978259985550339,-0.017356722950053215,-0.006901321824712165,-0.013225035538825765,0.0040506929844918785,-0.011942780317156957,-0.001364868461533641,-0.003128223013495769,0.007114176724050173,-0.004583087313550387,0.0002414783396831093
TPRG1L,-0.05489904667533806,-0.037047048422721225,-0.01329924668558217,-0.015537885041971403,-0.012127578344116692,-0.028586882782668903,-0.04036884659141712,-0.02029785053155269,-0.011157505468802075,-0.008806879648523523,-0.026886585969027457,-0.028653167299394947,-0.00811058812824607,-0.005390786612892791,0.0195824459780834,-0.010377724054642469,-0.007569890905144234,-0.024029460359583615,-0.03619724311128618,-0.023857299633892017
