,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9
TCF7,0.020548367901516852,0.0,-0.04381351721271605,0.012081349016559204,-0.01315382173506839,0.0,0.0,-0.02209108296663298,-0.03717956293682272,0.04966492512745214,-0.032893559484009655,-0.06232355137376914,-0.09785102558302015,0.007258001376516519,-0.08654599852463178,-0.09085610811250407,-0.0030341600186169827,-0.12488862574249297,-0.06403258351786009,-0.0
RP11-215P8.3,0.0,0.0,-0.002083085773739404,0.0156158795097822,-0.0,-0.0,0.0,0.0,-0.0,-0.004831996050190871,-0.0,-0.004828101130873436,-0.0,-0.0,0.0017876225705304484,-0.0012665938538620272,0.0,0.0,0.008415336628364217,0.0027588088501980003
PITX1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBI,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SMAD5,0.013320179899014718,-0.002340907036712672,-0.0,0.0,-0.0,0.011755156412429402,0.0,-0.0,0.0,0.0,0.002895310706733343,-0.018214011152631958,0.0,-0.0,0.008753270245169401,-0.015239530997376183,-0.0,-0.009228580666567709,-0.0,0.015779470588194254
KLHL3,0.0,-0.0,0.004714746469141571,-0.0,-0.0,-0.0,0.0007073578104850859,-0.0,-0.005055031996212962,-0.0,0.002988259463393077,0.0,-0.0005753597504362607,0.008543406742308956,-0.0,-0.0,-0.0,0.01696565640806684,0.0,0.0
FAM13B,-0.0,0.0,-0.010657730305985073,0.021703089772793373,0.00044000593935798814,-0.0,0.0006797839243764586,-0.008986862904500006,0.010615174919560552,0.0014977858899014257,0.014172465412187025,0.014817757844538234,0.009056202503590929,-0.007065600897221866,0.022484202491866792,-0.0054448816813298965,0.004175997680742018,-1.4688091171946207e-05,-0.008899012956018406,0.0
GFRA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM53C,-0.028785802210369048,-0.0,0.0,0.006764499151023215,0.03823640082308364,-0.020860571584831893,0.0,-0.002815256481032342,0.0,-0.005717569513707085,-0.0010250671075097298,-0.0,0.02990083358406154,-0.023380625160280694,-0.01104000241705019,0.008240963422416219,0.015699119649200146,-0.012561092298248602,0.006523471161686591,0.0029540426796734608
EGR1,-0.0,-0.0,-0.0,0.0,0.0,0.00016065305126404232,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
MATR3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
MATR3-1,-0.0017339711729504044,-0.0020534745300870238,0.01324746447401824,-0.0042957389019017585,0.003423430171224698,-0.0,0.0,-0.0,0.002302764947516865,0.0,0.0024544491332488655,0.0009440664908556586,0.0,0.0,0.005824263030512562,-0.0,-0.0,-0.00812287954519728,-0.001084804931845198,-0.0
CXXC5,-0.0,-0.0,-0.0,-0.0025693192702593713,-0.0,-0.0,0.0,0.0,0.0046750920636403825,-0.0,-0.0,0.0,0.0,0.0013567439127876656,-0.0,0.008511942453322258,-0.0,0.0,0.0,-0.0
LINC01024,0.0,0.0,0.0011775942364389805,0.0,-0.0022078162064803537,0.002183976628434483,0.0,-0.0005457140338126509,0.0,-0.0,-0.0,-0.004472076801501199,0.0,-0.0,0.0,0.0,0.0,-0.001886093386844486,-0.007549840182279297,-0.0013928190330731148
IGIP,0.0,-0.011945844822025499,-0.0008263114256158073,0.0004165591095302284,-0.0014036084595275035,0.007021606090101297,0.007774763901377033,-0.0,-0.0,0.0011782174213634579,0.0,-0.0005007369356611602,0.0005114513600927402,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.005815297737677629
SLC4A9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EIF4EBP3,-0.0,0.0,0.003957039566711825,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004185114089684435,0.0016863036167499195,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
DND1,-0.012317564585488109,0.0,0.0,0.0032398677307288793,0.00994442401938104,0.0,-0.0,-0.0019262647553414454,-0.0030044844727252387,-0.0,0.0,-0.0,-0.0042630898695446735,-0.0,0.012734358682631427,0.0,-0.012725982850732643,-0.009206133792793083,-0.0,0.0
PCDHB1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
CH17-140K24.2,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PCDHGA5,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
PCDHGA6,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
AC008781.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ARAP3,0.0,0.005546557194319594,0.0016580141242021652,-0.0,-0.0,0.0,-0.0,-0.0009786731526415608,-0.0,0.0,0.0,0.004179245699432788,-0.0,0.00298517810779872,0.005516625620228568,-0.0020977157380771693,-0.0,-0.0,0.006258429101231412,-0.0
GNPDA1,-0.0,-0.0,0.009538461925162268,-0.00874478843647354,-0.020777270487784587,-0.003563984097207985,0.020265103246021786,-0.0,-0.024357782042695064,-0.0,0.0,0.0,-0.008768035370119408,-0.025347289249170603,-0.01933258912206755,0.05539192978518899,0.002398436227468057,0.005206613013237811,-0.04814009525094706,0.0018195584533914934
